Epic,Task,Sub-task,Deskripsi Non-Teknis,Deskripsi Teknis,Milestone,Sprint,Start Date,End Date,Story Points,Priority
🎯 PRESENTASI MILESTONE 1,Tahap 1 (Awal) — Rp1.400.000 ✅ Done,"[Syarat: Kontrak disetujui, akun terdaftar, desain final selesai]","Presentasi desain draft Figma ke klien, konfirmasi semua tampilan sebelum masuk development",,Milestone 1,Sprint 1,27 Feb 2026,4 Mar 2026,-,High
OMA-1: Project Setup & Architecture,,,Menyiapkan fondasi teknis proyek,"Init repo Git, setup Flutter project structure, CI/CD pipeline, environment config (dev/staging/prod)",Milestone 1,Sprint 1,6 Mar 2026,9 Mar 2026,2,High
OMA-2: UI/UX & Design System,,,Membuat sistem desain dan tampilan visual aplikasi,"Figma design system: color palette, typography, component library, web color scheme",Milestone 1,Sprint 1,9 Mar 2026,16 Mar 2026,2,High
OMA-3: Tampilan & Navigasi Aplikasi,,,Membangun semua layar utama yang dilihat pengguna,"Flutter UI slicing dari Figma, routing & navigation setup",Milestone 2,Sprint 1,16 Mar 2026,20 Mar 2026,6,High
,Halaman Katalog Produk,,Tampilan daftar produk yang bisa dilihat dan dicari pelanggan,"Flutter widget: GridView/ListView product cards, state management untuk filter & search",Milestone 2,Sprint 1,16 Mar 2026,17 Mar 2026,2,High
,,Layout grid & list produk,Produk tampil dalam bentuk grid dengan foto dan harga,"GridView.builder dengan ProductCard widget, lazy loading, image dari Cloudinary URL",Milestone 2,Sprint 1,16 Mar 2026,16 Mar 2026,1,High
,,Fitur search & filter produk,Pelanggan bisa cari produk berdasarkan nama atau kategori,"SearchBar widget + debounce input, filter by category via query param ke API",Milestone 2,Sprint 1,17 Mar 2026,17 Mar 2026,1,Medium
,Halaman Detail Produk,,Halaman lengkap info satu produk sebelum pelanggan membeli,"ProductDetailScreen: fetch by product ID, hero animation dari katalog",Milestone 2,Sprint 1,17 Mar 2026,18 Mar 2026,1,High
,,"Tampilan foto, deskripsi & harga","Foto bisa di-zoom, deskripsi dan harga tampil jelas","PageView/CarouselSlider untuk foto, InteractiveViewer untuk zoom, RichText harga",Milestone 2,Sprint 1,17 Mar 2026,18 Mar 2026,1,High
,Halaman Keranjang Belanja,,Pelanggan bisa lihat dan ubah daftar produk yang akan dibeli,"CartScreen dengan state management (Provider/Riverpod), CRUD item cart di local state",Milestone 2,Sprint 1,18 Mar 2026,19 Mar 2026,1,High
,,"List item, jumlah & total harga","Semua item tampil, jumlah bisa diubah, total otomatis update","ListView cart items, quantity counter (+/-), computed total price reactive",Milestone 2,Sprint 1,18 Mar 2026,19 Mar 2026,1,High
,Halaman Checkout,,Langkah terakhir sebelum pelanggan bayar,"CheckoutScreen: form validasi, summary order, trigger payment API",Milestone 2,Sprint 1,19 Mar 2026,20 Mar 2026,2,High
,,Form alamat pengiriman,Pelanggan isi alamat tujuan pengiriman,"TextFormField dengan validasi (nama, alamat, kota, kode pos, no HP), Form widget",Milestone 2,Sprint 1,19 Mar 2026,19 Mar 2026,1,High
,,Ringkasan pesanan & tombol bayar,Tampil ringkasan belanja dan tombol lanjut ke pembayaran,"Order summary widget, total calculation, CTA button trigger POST /orders",Milestone 2,Sprint 1,20 Mar 2026,20 Mar 2026,1,High
OMA-4: Sistem Backend & Data Produk,,,Membangun sistem penyimpanan data dan koneksi ke aplikasi,"Setup Node.js/Express server, koneksi ke database, deploy ke cloud",Milestone 2,Sprint 2,30 Mar 2026,3 Apr 2026,4,High
,Setup Backend & API Produk,,Membangun sistem server dan jalur data ke aplikasi,"Express.js REST API, PostgreSQL/MongoDB setup, ORM config, deploy ke Railway/Render",Milestone 2,Sprint 2,30 Mar 2026,1 Apr 2026,2,High
,,Struktur database produk,Data produk tersimpan rapi di database,"Schema: products (id, name, desc, price, original_price, stock, category, images[], createdAt)",Milestone 2,Sprint 2,30 Mar 2026,31 Mar 2026,1,High
,,API endpoint data produk,Aplikasi bisa mengambil data produk dari server,"GET /products, GET /products/:id, query params: ?category=&search=&page=&limit=",Milestone 2,Sprint 2,1 Apr 2026,1 Apr 2026,1,High
,Input Data 20 Produk Pertama,,Memasukkan data 20 produk awal ke sistem (masih data contoh),Seed script atau manual input via Postman ke endpoint POST /products,Milestone 2,Sprint 2,2 Apr 2026,3 Apr 2026,2,High
,,"Input nama, harga & deskripsi produk",Data produk diinput ke database,Insert 20 product records ke database dengan data lengkap,Milestone 2,Sprint 2,2 Apr 2026,2 Apr 2026,1,High
,,Upload foto produk ke Cloudinary,Foto produk disimpan di cloud dan terhubung ke aplikasi,"Upload via Cloudinary SDK, simpan secure_url ke field images[] di database",Milestone 2,Sprint 2,3 Apr 2026,3 Apr 2026,1,High
OMA-5: Pemesanan & Pembayaran,,,Membangun fitur pesan dan bayar secara online,Order management system + Xendit payment gateway integration,Milestone 2,Sprint 2,6 Apr 2026,10 Apr 2026,6,High
,Alur Pemesanan (Order Flow),,Sistem yang memproses pesanan dari checkout ke database,"POST /orders: buat order record, kurangi stok, return order ID ke client",Milestone 2,Sprint 2,6 Apr 2026,7 Apr 2026,2,High
,,Buat & simpan data pesanan,Setiap pesanan tersimpan otomatis di sistem,"Schema: orders (id, userId, items[], totalAmount, status, paymentStatus, address, createdAt)",Milestone 2,Sprint 2,6 Apr 2026,6 Apr 2026,1,High
,,Tampilan status pesanan di aplikasi,Pelanggan bisa lihat status pesanannya secara real-time,"GET /orders/:id polling atau WebSocket, OrderStatusScreen dengan status stepper UI",Milestone 2,Sprint 2,7 Apr 2026,7 Apr 2026,1,High
,Integrasi Pembayaran Xendit,,Menghubungkan aplikasi dengan sistem pembayaran online (mode uji coba),"Xendit Node.js SDK, create invoice, handle webhook callback",Milestone 2,Sprint 2,8 Apr 2026,10 Apr 2026,4,High
,,Setup Xendit mode uji coba (sandbox),Sistem pembayaran diuji dengan mode sandbox dulu,"Config Xendit API key sandbox, create invoice via POST /invoices, test dengan dummy data",Milestone 2,Sprint 2,8 Apr 2026,8 Apr 2026,1,High
,,Webhook konfirmasi pembayaran,Server otomatis terima notifikasi saat pembayaran berhasil,"POST /webhook/xendit: verifikasi x-callback-token, update order.paymentStatus = 'paid'",Milestone 2,Sprint 2,9 Apr 2026,9 Apr 2026,2,High
,,Update status pembayaran di aplikasi,Status bayar pelanggan terupdate otomatis tanpa refresh,Polling GET /orders/:id setiap 5 detik atau push notification via FCM setelah webhook,Milestone 2,Sprint 2,10 Apr 2026,10 Apr 2026,1,High
🎯 PRESENTASI MILESTONE 2,Tahap 2 (Progres 1) — Rp2.800.000,"[Syarat: UI bisa dicoba di HP, data dummy, payment sandbox jalan]","Demo aplikasi langsung di HP ke klien — tampilan lengkap, coba pesan, coba bayar (mode uji)","Demo build Flutter di device fisik, test sandbox Xendit end-to-end, review semua layar",Milestone 2,Sprint 2,10 Apr 2026,10 Apr 2026,-,High
